pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
100,0.2,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9654
50,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9652
100,0.2,rank,uniform,0.8,0.005,100.0,0.0,30/30,0.9646
100,0.1,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.9645
50,0.2,roulette,uniform,1.0,0.005,100.0,0.0,30/30,0.9642
50,0.2,rank,two_point,0.8,0.005,100.0,0.0,30/30,0.964
50,0.1,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9638
50,0.2,roulette,uniform,1.0,0.01,100.0,0.0,30/30,0.9636
20,0.2,roulette,two_point,1.0,0.005,100.0,0.0,30/30,0.9633
20,0.2,roulette,two_point,1.0,0.01,100.0,0.0,30/30,0.9631
50,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9629
50,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9628
20,0.2,roulette,two_point,0.8,0.01,100.0,0.0,30/30,0.9627
100,0.2,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9625
50,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9624
100,0.1,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9623
50,0.1,rank,two_point,0.8,0.005,100.0,0.0,30/30,0.9622
100,0.1,rank,uniform,0.8,0.005,100.0,0.0,30/30,0.9619
50,0.2,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9618
20,0.2,roulette,one_point,1.0,0.01,100.0,0.0,30/30,0.9614
50,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9614
20,0.2,roulette,two_point,0.8,0.005,100.0,0.0,30/30,0.9606
50,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.96
100,0.1,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9594
50,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9592
50,0.2,roulette,uniform,0.8,0.01,100.0,0.0,30/30,0.9586
20,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9581
20,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9572
50,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9571
20,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9552
100,0.2,rank,two_point,1.0,0.005,100.0,0.0,30/30,0.953
100,0.2,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9525
20,0.1,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.949
100,0.1,rank,two_point,1.0,0.005,100.0,0.0,30/30,0.9486
100,0.1,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9478
100,0.2,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9478
100,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9475
50,0.2,roulette,two_point,1.0,0.01,100.0,0.0,30/30,0.9473
50,0.2,roulette,two_point,1.0,0.005,100.0,0.0,30/30,0.9467
100,0.2,rank,two_point,0.8,0.005,100.0,0.0,30/30,0.9464
100,0.2,roulette,uniform,1.0,0.005,100.0,0.0,30/30,0.9452
100,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9452
100,0.1,rank,two_point,0.8,0.005,100.0,0.0,30/30,0.9445
50,0.1,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9431
100,0.1,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9428
